"Tên","Thuộc cột","Thuộc hàng","Thời gian xét"
"PhatsinhDU(2111/241)","G","125",""
"PhatsinhDU(2112/241)","L","215",""
"PhatsinhDU(2113/241)","T","215",""
"PhatsinhDU(2114/241)","AC","215",""
"PhatsinhDU(2115/241)","AK","215",""
"PhatsinhDU(2118/241)","AS","215",""
"PhatsinhDU(211/241)","BC","215",""
"PhatsinhDU(2111/711) + PhatsinhDU(2111/411)","G","216",""
"PhatsinhDU(2112/711) + PhatsinhDU(2112/411)","L","216",""
"PhatsinhDU(2113/711) + PhatsinhDU(2113/411)","T","216",""
"PhatsinhDU(2114/711) + PhatsinhDU(2114/411)","AC","216",""
"PhatsinhDU(2115/711) + PhatsinhDU(2115/411)","AK","216",""
"PhatsinhDU(2118/711) + PhatsinhDU(2118/411)","AS","216",""
"PhatsinhDU(211/711) + PhatsinhDU(211/411)","BC","216",""
" - PhatsinhDU(811/2111) - PhatsinhDU(2141/2111)","G","217",""
" - PhatsinhDU(811/2112) - PhatsinhDU(2141/2112)","L","217",""
"'- PhatsinhDU(811/2113) - PhatsinhDU(2141/2113)","T","217",""
" - PhatsinhDU(811/2114) - PhatsinhDU(2141/2114)","AC","217",""
"PhatsinhDU(811/2115) - PhatsinhDU(2141/2115)","AK","217",""
"PhatsinhDU(811/2118) - PhatsinhDU(2141/2118)","AS","217",""
" - PhatsinhDU(811/211) - PhatsinhDU(2141/211)","BC","217",""
"PhatsinhDU(811/2111) - PhatsinhDU(2141/2111)","L","218",""
" - PhatsinhDU(811/2112) - PhatsinhDU(2141/2112)","L","218",""
" - PhatsinhDU(811/2113) - PhatsinhDU(2141/2113)","T","218",""
"PhatsinhDU(811/2114) - PhatsinhDU(2141/2114)","AC","218",""
"'- PhatsinhDU(811/2115) - PhatsinhDU(2141/2115)","AK","218",""
" - PhatsinhDU(811/2118) - PhatsinhDU(2141/2118)","AS","218",""
" - PhatsinhDU(811/211) - PhatsinhDU(2141/211)","BC","218",""
"DUNOCK(2111)","G","220",""
"DUNOCK(2112)","L","220",""
"DUNOCK(2113)","T","220",""
"DUNOCK(2114)","AC","220",""
"DUNOCK(2115)","AK","220",""
"DUNOCK(2118)","AS","220",""
"DUNOCK(211)","BC","220",""
" - PhatsinhDU(2141/2111)","G","226",""
" - PhatsinhDU(2141/2112)","L","226",""
" - PhatsinhDU(2141/2113)","T","226",""
" - PhatsinhDU(2141/2115)","AK","226",""
" - PhatsinhDU(2141/2114)","AC","226",""
" - PhatsinhDU(2141/2118)","AS","226",""
" - PhatsinhDU(2141/211) - HaomonPSThanhlyNB_TSCD_loai16()","BC","226",""
" - PhatsinhNO(2141) + PhatsinhDU(2141/211) + PhatsinhDU(2141/2147) - HaomonPSdanhgiagiam_TSCD_loai16()","BC","227",""
"DUCOCK(2141) + HaomonluykeCK_TSCD_loai16()","BC","228",""
"DUNODK(211) - DUCODK(2141)","BC","230",""
"DUNOCK(211) - DUCOCK(2141)","BC","231",""
" - PhatsinhDU(2143/2131)","E","256",""
" - PhatsinhDU(2143/2132)","I","256",""
" - PhatsinhDU(2143/2133)","R","256",""
" - PhatsinhDU(2143/2134)","Y","256",""
" - PhatsinhDU(2143/2135)","AD","256",""
" - PhatsinhDU(2143/2136)","AM","256",""
" - PhatsinhDU(2143/2138)","AT","256",""
" - PhatsinhDU(2143/213)","BD","256",""
"DUCOCK(2143)","BD","258",""
"DUNODK(213) - DUCODK(2143)","BD","260",""
"DUNOCK(213) - DUCOCK(2143)","BD","261",""
"DUCODK(3331)","J","407",""
"DUCODK(3332)","J","408",""
"DUCODK(3333)","J","409",""
"DUCODK(3334)","J","410",""
"DUCODK(3335)","J","411",""
"DUCODK(3336)","J","421",""
"DUCODK(3337)","J","413",""
"DUCODK(3338)","J","414",""
"DUCODK(3339)","J","415",""
"DUNODK(3331)","J","418",""
"DUNODK(3332)","J","419",""
"DUNODK(3333)","J","420",""
"DUNODK(3334)","J","421",""
"DUNODK(3335)","J","422",""
"DUNODK(3336)","J","423",""
"DUNODK(3337)","J","425",""
"DUNODK(3338)","J","425",""
"DUNODK(3339)","J","426",""
"DUCOCK(3331)","AX","407",""
"DUCOCK(3332)","AX","408",""
"DUCOCK(3333)","AX","409",""
"DUCOCK(3334)","AX","410",""
"DUCOCK(3335)","AX","411",""
"DUCOCK(3336)","AX","412",""
"DUCOCK(3337)","AX","413",""
"DUCOCK(3338)","AX","414",""
"DUCOCK(3339)","AX","415",""
"DUNOCK(3331)","AX","418",""
"DUNOCK(3332)","AX","419",""
"DUNOCK(3333)","AX","420",""
"DUNOCK(3334)","AX","421",""
"DUNOCK(3335)","AX","422",""
"DUNOCK(3336)","AX","423",""
"DUNOCK(3337)","AX","424",""
"DUNOCK(3338)","AX","425",""
"DUNOCK(3339)","AX","426",""
"PhatsinhDU(3331/11) + PhatsinhDU(3331/141) + PhatsinhDU(3331/131) + PhatsinhDU(3331/138) + PhatsinhDU(3331/331) + PhatsinhDU(3331/338) + PhatsinhDU(3331/136) + PhatsinhDU(3331/336) - PhatsinhDUGiamVAT(33311/11) - PhatsinhDUGiamVAT(33311/141) - PhatsinhDUGiamVAT(33311/131) - PhatsinhDUGiamVAT(33311/138) - PhatsinhDUGiamVAT(33311/331) - PhatsinhDUGiamVAT(33311/338) - PhatsinhDUGiamVAT(33311/136) - PhatsinhDUGiamVAT(33311/336)","AJ","407",""
"PhatsinhDU(3332/11) + PhatsinhDU(3332/141) + PhatsinhDU(3332/131) + PhatsinhDU(3332/138) + PhatsinhDU(3332/331) + PhatsinhDU(3332/338) + PhatsinhDU(3332/136) + PhatsinhDU(3332/336)","AJ","408",""
"PhatsinhDU(3333/11) + PhatsinhDU(3333/141) + PhatsinhDU(3333/131) + PhatsinhDU(3333/138) + PhatsinhDU(3333/331) + PhatsinhDU(3333/338) + PhatsinhDU(3333/136) + PhatsinhDU(3333/336)","AJ","409",""
"PhatsinhDU(3334/11) + PhatsinhDU(3334/141) + PhatsinhDU(3334/131) + PhatsinhDU(3334/138) + PhatsinhDU(3334/331) + PhatsinhDU(3334/338) + PhatsinhDU(3334/136) + PhatsinhDU(3334/336)","AJ","410",""
"PhatsinhDU(3335/11) + PhatsinhDU(3335/141) + PhatsinhDU(3335/131) + PhatsinhDU(3335/138) + PhatsinhDU(3335/331) + PhatsinhDU(3335/338) + PhatsinhDU(3335/136) + PhatsinhDU(3335/336)","AJ","411",""
"PhatsinhDU(3336/11) + PhatsinhDU(3336/141) + PhatsinhDU(3336/131) + PhatsinhDU(3336/138) + PhatsinhDU(3336/331) + PhatsinhDU(3336/338) + PhatsinhDU(3336/136) + PhatsinhDU(3336/336)","AJ","412",""
"PhatsinhDU(3337/11) + PhatsinhDU(3337/141) + PhatsinhDU(3337/131) + PhatsinhDU(3337/138) + PhatsinhDU(3337/331) + PhatsinhDU(3337/338) + PhatsinhDU(3337/136) + PhatsinhDU(3337/336)","AJ","413",""
"PhatsinhDU(3338/11) + PhatsinhDU(3338/141) + PhatsinhDU(3338/131) + PhatsinhDU(3338/138) + PhatsinhDU(3338/331) + PhatsinhDU(3338/338) + PhatsinhDU(3338/136) + PhatsinhDU(3338/336)","AJ","414",""
"PhatsinhDU(3339/11) + PhatsinhDU(3339/141) + PhatsinhDU(3339/131) + PhatsinhDU(3339/138) + PhatsinhDU(3339/331) + PhatsinhDU(3339/338) + PhatsinhDU(3339/136) + PhatsinhDU(3339/336)","AJ","415",""
"PhatsinhCO(3331) - PhatsinhDU(3331/133) - PhatsinhNoGiamVAT(33311) - PhatsinhNO(33312) + PhatsinhDU(33312/11) + PhatsinhDU(33312/141) + PhatsinhDU(33312/131) + PhatsinhDU(33312/138) + PhatsinhDU(33312/331) + PhatsinhDU(33312/338) + PhatsinhDU(33312/136) + PhatsinhDU(33312/336)","X","407",""
"PhatsinhCO(3332) - PhatsinhNO(3332) + PhatsinhDU(3332/11) + PhatsinhDU(3332/141) + PhatsinhDU(3332/131) + PhatsinhDU(3332/138) + PhatsinhDU(3332/331) + PhatsinhDU(3332/338) + PhatsinhDU(3332/136) + PhatsinhDU(3332/336)","X","408",""
"PhatsinhCO(3333) - PhatsinhNO(3333) + PhatsinhDU(3333/11) + PhatsinhDU(3333/141) + PhatsinhDU(3333/131) + PhatsinhDU(3333/138) + PhatsinhDU(3333/331) + PhatsinhDU(3333/338) + PhatsinhDU(3333/136) + PhatsinhDU(3333/336)","X","409",""
"PhatsinhCO(3334) - PhatsinhNO(3334) + PhatsinhDU(3334/11) + PhatsinhDU(3334/141) + PhatsinhDU(3334/131) + PhatsinhDU(3334/138) + PhatsinhDU(3334/331) + PhatsinhDU(3334/338) + PhatsinhDU(3334/136) + PhatsinhDU(3334/336)","X","410",""
"PhatsinhCO(3335) - PhatsinhNO(3335) + PhatsinhDU(3335/11) + PhatsinhDU(3335/141) + PhatsinhDU(3335/131) + PhatsinhDU(3335/138) + PhatsinhDU(3335/331) + PhatsinhDU(3335/338) + PhatsinhDU(3335/136) + PhatsinhDU(3335/336)","X","411",""
"PhatsinhCO(3336) - PhatsinhNO(3336) + PhatsinhDU(3336/11) + PhatsinhDU(3336/141) + PhatsinhDU(3336/131) + PhatsinhDU(3336/138) + PhatsinhDU(3336/331) + PhatsinhDU(3336/338) + PhatsinhDU(3336/136) + PhatsinhDU(3336/336)","X","412",""
"PhatsinhCO(3337) - PhatsinhNO(3337) + PhatsinhDU(3337/11) + PhatsinhDU(3337/141) + PhatsinhDU(3337/131) + PhatsinhDU(3337/138) + PhatsinhDU(3337/331) + PhatsinhDU(3337/338) + PhatsinhDU(3337/136) + PhatsinhDU(3337/336)","X","413",""
"PhatsinhCO(3338) - PhatsinhNO(3338) + PhatsinhDU(3338/11) + PhatsinhDU(3338/141) + PhatsinhDU(3338/131) + PhatsinhDU(3338/138) + PhatsinhDU(3338/331) + PhatsinhDU(3338/338) + PhatsinhDU(3338/136) + PhatsinhDU(3338/336)","X","414",""
"PhatsinhCO(3339) - PhatsinhNO(3339) + PhatsinhDU(3339/11) + PhatsinhDU(3339/141) + PhatsinhDU(3339/131) + PhatsinhDU(3339/138) + PhatsinhDU(3339/331) + PhatsinhDU(3339/338) + PhatsinhDU(3339/136) + PhatsinhDU(3339/336)","X","415",""
"DUCODK_NamTruoc(4111)","D","563",""
"PhatsinhCO_NamTruoc(4111)","D","564",""
"PhatsinhNO_NamTruoc(4111)","D","567",""
"DUCODK(4111)","D","570",""
"PhatsinhCO(4111)","D","571",""
"PhatsinhNO(4111)","D","574",""
"[VI.25.a.2] + [V.22.a.10] + [V.22.a.11] + [V.22.a.12] - [V.22.a.13] - [V.22.a.14] - [V.22.a.15]","D","577",""
"DUCODK_NamTruoc(4112)","H","563",""
"PhatsinhCO_NamTruoc(4112)","H","564",""
"PhatsinhNO_NamTruoc(4112)","H","567",""
"DUCODK(4112)","H","570",""
"PhatsinhCO(4112)","H","571",""
"PhatsinhNO(4112)","H","574",""
"[VI.25.a.2] + [V.22.a.10] + [V.22.a.11] + [V.22.a.12] - [V.22.a.13] - [V.22.a.14] - [V.22.a.15]","H","577",""
"[VI.25.a.2] + [V.22.a.10] + [V.22.a.11] + [V.22.a.12] - [V.22.a.13] - [V.22.a.14] - [V.22.a.15]","P","257",""
"DUCODK_NamTruoc(4118)","U","563",""
"PhatsinhCO_NamTruoc(4118)","U","564",""
"PhatsinhNO_NamTruoc(4118)","U","567",""
"DUCODK(4118)","U","570",""
"PhatsinhCO(4118)","U","471",""
"PhatsinhNO(4118)","U","574",""
"[VI.25.a.2] + [V.22.a.10] + [V.22.a.11] + [V.22.a.12] - [V.22.a.13] - [V.22.a.14] - [V.22.a.15]","U","577",""
"DUCODK_NamTruoc(412) - DUNODK_NamTruoc(412)","AB","563",""
"PhatsinhCO_NamTruoc(412)","AB","564",""
"PhatsinhNO_NamTruoc(412)","AB","567",""
"DUCODK(412) - DUNODK(412)","AB","570",""
"PhatsinhCO(412)","AB","571",""
"PhatsinhNO(412)","AB","574",""
"[VI.25.a.2] + [V.22.a.10] + [V.22.a.11] + [V.22.a.12] - [V.22.a.13] - [V.22.a.14] - [V.22.a.15]","AB","277",""
"DUCODK_NamTruoc(413) - DUNODK_NamTruoc(413)","AH","563",""
"PhatsinhCO_NamTruoc(413)","AH","564",""
"PhatsinhNO_NamTruoc(413)","AH","570",""
"DUCODK(413) - DUNODK(413)","AH","470",""
"PhatsinhCO(413)","AH","571",""
"PhatsinhNO(413)","AH","574",""
"[VI.25.a.2] + [V.22.a.10] + [V.22.a.11] + [V.22.a.12] - [V.22.a.13] - [V.22.a.14] - [V.22.a.15]","AH","577",""
"DUCODK_NamTruoc(4111) + DUCODK_NamTruoc(4112) + DUCODK_NamTruoc(4118) + DUCODK_NamTruoc(412) - DUNODK_NamTruoc(412) + DUCODK_NamTruoc(413) - DUNODK_NamTruoc(413)","BE","563",""
"PhatsinhCO_NamTruoc(4111) + PhatsinhCO_NamTruoc(4112) + PhatsinhCO_NamTruoc(4118) + PhatsinhCO_NamTruoc(412) + PhatsinhCO_NamTruoc(413)","BE","564",""
"PhatsinhNO_NamTruoc(4111) + PhatsinhNO_NamTruoc(4112) + PhatsinhNO_NamTruoc(4118) + PhatsinhNO_NamTruoc(412) + PhatsinhNO_NamTruoc(413)","BE","567",""
"DUCODK(4111) + DUCODK(4112) + DUCODK(4118) + DUCODK(412) - DUNODK(412) + DUCODK(413) - DUNODK(413)","BE","570",""
"PhatsinhCO(4111) + PhatsinhCO(4112) + PhatsinhCO(4118) + PhatsinhCO(412) + PhatsinhCO(413)","BE","571",""
"PhatsinhNO(4111) + PhatsinhNO(4112) + PhatsinhNO(4118) + PhatsinhNO(412) + PhatsinhNO(413)","BE","574",""
"[VI.25.a.2] + [V.22.a.10] + [V.22.a.11] + [V.22.a.12] - [V.22.a.13] - [V.22.a.14] - [V.22.a.15]","BE","577",""
"DUCOCK_ChitietTheoTKvaDoituong(331)","J","392",""
"DUCODK_ChitietTheoTKvaDoituong(331)","AJ","392",""
"DUCOCK(414)","A","618",""
" - PhatsinhDU(2141/2147)","BC","225",""
"DUCOCK(3411) - DUNOCK(3411)","E","361",""
"PhatsinhCO(3411)","V","361",""
"DUCODK(3411) - DUNODK(3411)","AO","361",""
"[VI.25.a.2] + [V.22.a.10] + [V.22.a.11] + [V.22.a.12] - [V.22.a.13] - [V.22.a.14] - [V.22.a.15]","AN","577",""
"[VI.25.a.2] + [V.22.a.10] + [V.22.a.11] + [V.22.a.12] - [V.22.a.13] - [V.22.a.14] - [V.22.a.15]","AW","577",""
"[VII.8.b.1] + [VII.8.b.2]","AV","756",""
